STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Frequency,reporter,REPORTER,partner,PARTNER,product,PRODUCT,flow,FLOW,indicators,INDICATORS,TIME_PERIOD,TIME_PERIOD,OBS_VALUE,Observation Value
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2013,,8877107,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2014,,6384144,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2015,,8444230,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2016,,5670858,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2017,,5924107,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2018,,5700790,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2019,,6759414,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2020,,6662571,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2021,,13308143,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2022,,16065920,
