STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sectfund,Source of funds,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C26,"Manufacture of computer, electronic and optical products",MIO_EUR,Million euro,FR,France,2019,,,,,,C,confidential
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C26,"Manufacture of computer, electronic and optical products",MIO_EUR,Million euro,FR,France,2020,,3659.84,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C26,"Manufacture of computer, electronic and optical products",MIO_EUR,Million euro,FR,France,2021,,3904.634,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C26,"Manufacture of computer, electronic and optical products",MIO_EUR,Million euro,FR,France,2022,,4353.099,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C26,"Manufacture of computer, electronic and optical products",MIO_EUR,Million euro,FR,France,2023,,4749.75,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C27,Manufacture of electrical equipment,MIO_EUR,Million euro,FR,France,2016,,703.638,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C27,Manufacture of electrical equipment,MIO_EUR,Million euro,FR,France,2017,,836.776,,p,provisional,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C27,Manufacture of electrical equipment,MIO_EUR,Million euro,FR,France,2018,,,,,,C,confidential
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C27,Manufacture of electrical equipment,MIO_EUR,Million euro,FR,France,2019,,,,,,C,confidential
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C27,Manufacture of electrical equipment,MIO_EUR,Million euro,FR,France,2020,,800.058,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C27,Manufacture of electrical equipment,MIO_EUR,Million euro,FR,France,2021,,1328.935,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C27,Manufacture of electrical equipment,MIO_EUR,Million euro,FR,France,2022,,1546.7,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C27,Manufacture of electrical equipment,MIO_EUR,Million euro,FR,France,2023,,1586.519,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C29,"Manufacture of motor vehicles, trailers and semi-trailers",MIO_EUR,Million euro,FR,France,2016,,2436.34,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C29,"Manufacture of motor vehicles, trailers and semi-trailers",MIO_EUR,Million euro,FR,France,2017,,2405.825,,p,provisional,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C29,"Manufacture of motor vehicles, trailers and semi-trailers",MIO_EUR,Million euro,FR,France,2018,,,,,,C,confidential
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C29,"Manufacture of motor vehicles, trailers and semi-trailers",MIO_EUR,Million euro,FR,France,2019,,,,,,C,confidential
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C29,"Manufacture of motor vehicles, trailers and semi-trailers",MIO_EUR,Million euro,FR,France,2020,,2253.321,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C29,"Manufacture of motor vehicles, trailers and semi-trailers",MIO_EUR,Million euro,FR,France,2021,,3940.14,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C29,"Manufacture of motor vehicles, trailers and semi-trailers",MIO_EUR,Million euro,FR,France,2022,,4135.702,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C29,"Manufacture of motor vehicles, trailers and semi-trailers",MIO_EUR,Million euro,FR,France,2023,,4472.96,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C30,Manufacture of other transport equipment,MIO_EUR,Million euro,FR,France,2016,,3129.52,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C30,Manufacture of other transport equipment,MIO_EUR,Million euro,FR,France,2017,,2910.804,,p,provisional,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C30,Manufacture of other transport equipment,MIO_EUR,Million euro,FR,France,2018,,,,,,C,confidential
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C30,Manufacture of other transport equipment,MIO_EUR,Million euro,FR,France,2019,,,,,,C,confidential
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C30,Manufacture of other transport equipment,MIO_EUR,Million euro,FR,France,2020,,3370.886,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C30,Manufacture of other transport equipment,MIO_EUR,Million euro,FR,France,2021,,4298.465,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C30,Manufacture of other transport equipment,MIO_EUR,Million euro,FR,France,2022,,4936.95,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,TOTAL,All sectors,C30,Manufacture of other transport equipment,MIO_EUR,Million euro,FR,France,2023,,5049.453,,,,,
